Encuesta;Fecha;Mes;Pais de procedencia;Ciudad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo
2522;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;47;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2523;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;47;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2524;2019-08-30;Agosto;Colombia;Buenaventura;Nacional;Occidente;N/A;Femenino;30;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;1;1 Noche
2525;2019-08-30;Agosto;Colombia;Palmira;Nacional;Occidente;N/A;Masculino;26;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;2;2-3 Noches
2526;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;36;21-45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2527;2019-08-30;Agosto;Colombia;Neiva;Nacional;Centro;N/A;Femenino;29;21-45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;2;2-3 Noches
2528;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2529;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;38;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2530;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;25;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2531;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;41;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2532;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;32;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2533;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;29;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2534;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;80;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2535;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;61;Mas de 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche
2536;2019-08-30;Agosto;Colombia;Medellín;Nacional;Centro;N/A;Femenino;54;Mas de 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2537;2019-08-30;Agosto;Colombia;Medellín;Nacional;Centro;N/A;Masculino;32;21-45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2538;2019-08-30;Agosto;Colombia;Pasto;Nacional;Sur;N/A;Masculino;48;Mas de 45 años;Educación y/o Formación;N/A;Español;N/A;Hotel;N/A;Aéreo;N/A;N/A
2539;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;50;Mas de 45 años;Visita parientes o amigos;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2540;2019-08-30;Agosto;Colombia;Palmira;Nacional;Occidente;N/A;Masculino;43;21-45 años;Salud;N/A;Español;N/A;No responde;N/A;Terrestre público;N/A;N/A
2541;2019-08-30;Agosto;Colombia;Palmira;Nacional;Occidente;N/A;Femenino;68;Mas de 45 años;Salud;N/A;Español;N/A;No responde;N/A;Terrestre público;N/A;N/A
2542;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;60;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2543;2019-08-30;Agosto;Colombia;Medellín;Nacional;Centro;N/A;Masculino;29;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Terrestre público;3;2-3 Noches
2544;2019-08-30;Agosto;Colombia;Medellín;Nacional;Centro;N/A;Masculino;41;21-45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;4;4-6 Noches
2545;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;38;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2546;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2547;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;32;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2548;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;23;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2549;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;62;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2550;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;54;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2551;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;45;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2552;2019-08-30;Agosto;Colombia;Cartagena;Nacional;Norte;N/A;Masculino;50;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;4;4-6 Noches
2553;2019-08-30;Agosto;Colombia;Buenaventura;Nacional;Occidente;N/A;Masculino;28;21-45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;3;2-3 Noches
2554;2019-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;29;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2555;2019-08-30;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;50;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
2556;2019-08-30;Agosto;Colombia;Neiva;Nacional;Centro;N/A;Masculino;29;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Terrestre público;2;2-3 Noches
2557;2019-08-30;Agosto;Colombia;Medellín;Nacional;Centro;N/A;Masculino;38;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche
2558;2019-08-30;Agosto;Estados Unidos;Texas;Extranjero;N/A;Norteamerica;Masculino;45;21-45 años;Recreacional o vacacional;N/A;Inglés;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
2559;2019-08-30;Agosto;Colombia;Pasto;Nacional;Sur;N/A;Femenino;36;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches
2560;2019-08-30;Agosto;Brasil;Sau Paulo;Extranjero;N/A;America latina;Masculino;24;21-45 años;Recreacional o vacacional;N/A;Portugués;N/A;Vivienda familiar o amigos;N/A;Aéreo;2;2-3 Noches
2561;2019-08-31;Agosto;Colombia;Tumaco;Nacional;Sur;N/A;Masculino;30;21-45 años;Salud;N/A;Español;N/A;Hotel;N/A;Terrestre público;1;1 Noche
2562;2019-08-31;Agosto;Australia;Sidney;Extranjero;N/A;Oceania;Masculino;19;0 - 20 años;Recreacional o vacacional;N/A;Inglés;N/A;Hotel;N/A;Aéreo;4;4-6 Noches
2563;2019-08-31;Agosto;Panamá;Ciudad de Panamá;Extranjero;N/A;America latina;Femenino;23;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2564;2019-08-31;Agosto;Venezuela;Caracas;Extranjero;N/A;America latina;Masculino;64;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;Terrestre público;N/A;N/A
2565;2019-08-31;Agosto;Panamá;Ciudad de Panamá;Extranjero;N/A;America latina;Femenino;56;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2566;2019-08-31;Agosto;Colombia;Puerto Asís;Nacional;Sur;N/A;Masculino;46;Mas de 45 años;Salud;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches
2567;2019-08-31;Agosto;Panamá;Ciudad de Panamá;Extranjero;N/A;America latina;Masculino;26;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2568;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;17;0 - 20 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2569;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;29;21-45 años;Educación y/o Formación;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches
2570;2019-08-31;Agosto;Colombia;Sevilla valle;Nacional;Occidente;N/A;Masculino;28;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;3;2-3 Noches
2571;2019-08-31;Agosto;Turquía;Angara;Extranjero;N/A;Europa;Masculino;29;21-45 años;Recreacional o vacacional;N/A;Otro;Turco;Hostal;N/A;Aéreo;3;2-3 Noches
2572;2019-08-31;Agosto;Colombia;Manizales;Nacional;Centro;N/A;Masculino;74;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;30;Mas de 10 Noches
2573;2019-08-31;Agosto;Colombia;Neiva;Nacional;Centro;N/A;Femenino;21;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;7;7-10 Noches
2574;2019-08-31;Agosto;Ecuador;Quito;Extranjero;N/A;America latina;Masculino;65;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2575;2019-08-31;Agosto;Argentina;Calafate;Extranjero;N/A;America latina;Masculino;28;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;7;7-10 Noches
2576;2019-08-31;Agosto;Francia;Bearritz;Extranjero;N/A;Europa;Masculino;31;21-45 años;Recreacional o vacacional;N/A;Francés;N/A;Hostal;N/A;Aéreo;7;7-10 Noches
2577;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;28;21-45 años;Visita parientes o amigos;N/A;Español;N/A;Otros;N/A;Aéreo;N/A;N/A
2578;2019-08-31;Agosto;Colombia;Neiva;Nacional;Centro;N/A;Masculino;43;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;7;7-10 Noches
2579;2019-08-31;Agosto;Brasil;Belén;Extranjero;N/A;America latina;Masculino;43;21-45 años;Negocios;N/A;Portugués;N/A;Hostal;N/A;Aéreo;4;4-6 Noches
2580;2019-08-31;Agosto;Colombia;Bucaramanga;Nacional;Centro;N/A;Femenino;37;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;Aéreo;6;4-6 Noches
2581;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;31;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;Aéreo;N/A;N/A
2582;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;19;0 - 20 años;Educación y/o Formación;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches
2583;2019-08-31;Agosto;Ecuador;Riobamba;Extranjero;N/A;America latina;Masculino;38;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Terrestre público;2;2-3 Noches
2584;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;32;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;Aéreo;N/A;N/A
2585;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;20;0 - 20 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;Aéreo;N/A;N/A
2586;2019-08-31;Agosto;Colombia;Pasto;Nacional;Sur;N/A;Masculino;34;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;1;1 Noche
2587;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;46;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
2588;2019-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;38;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
2589;2019-09-01;Septiembre;Perú;Lima;Extranjero;N/A;America latina;Masculino;45;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;7;7-10 Noches
2590;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;24;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2591;2019-09-01;Septiembre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;32;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;N/A;N/A
2592;2019-09-01;Septiembre;Perú;Lima;Extranjero;N/A;America latina;Masculino;28;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda turística;N/A;Aéreo;30;Mas de 10 Noches
2593;2019-09-01;Septiembre;Perú;Lima;Extranjero;N/A;America latina;Femenino;23;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;10;7-10 Noches
2594;2019-09-01;Septiembre;Perú;Lima;Extranjero;N/A;America latina;Masculino;28;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;10;7-10 Noches
2595;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;36;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2596;2019-09-01;Septiembre;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;37;21-45 años;Educación y/o Formación;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2597;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;39;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2598;2019-09-01;Septiembre;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;35;21-45 años;Educación y/o Formación;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
2599;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;31;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2600;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;53;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2601;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;42;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2602;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;45;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2603;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;29;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2604;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;30;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2605;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;29;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2606;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;33;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2607;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;38;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2608;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;41;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2609;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;43;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2610;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;43;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2611;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;50;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2612;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;45;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2613;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;40;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2614;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2615;2019-09-01;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;30;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2616;2019-09-02;Septiembre;Colombia;Buga;Nacional;Occidente;N/A;Femenino;29;21-45 años;Salud;N/A;Español;N/A;Vivienda turística;N/A;Terrestre público;N/A;N/A
2617;2019-09-02;Septiembre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;40;21-45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;30;Mas de 10 Noches
2618;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2619;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;27;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2620;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2621;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;29;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2622;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;31;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2623;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;40;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2624;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;23;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2625;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2626;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;27;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2627;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;31;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2628;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;29;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2629;2019-09-02;Septiembre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;40;21-45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2630;2019-09-02;Septiembre;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;39;21-45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
2631;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;21;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2632;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2633;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;42;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2634;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;39;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2635;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;45;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2636;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2637;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2638;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;38;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2639;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;40;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2640;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;30;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2641;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2642;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;18;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2643;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2644;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;57;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2645;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;53;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2646;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;54;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2647;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;39;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2648;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;55;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2649;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2650;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;53;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2651;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;40;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2652;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2653;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;30;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2654;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2655;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;49;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2656;2019-09-02;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;28;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2657;2019-09-03;Septiembre;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2658;2019-09-03;Septiembre;Colombia;Manizales;Nacional;Centro;N/A;Masculino;32;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre particular;8;7-10 Noches
2659;2019-09-03;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;24;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2660;2019-09-03;Septiembre;Colombia;Tumaco;Nacional;Sur;N/A;Masculino;31;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;8;7-10 Noches
2661;2019-09-03;Septiembre;Colombia;Tumaco;Nacional;Sur;N/A;Masculino;33;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;8;7-10 Noches
2662;2019-09-04;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;48;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2663;2019-09-04;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;52;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
2664;2019-09-04;Septiembre;Colombia;Cali;Local;Occidente;N/A;Masculino;57;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
