Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
972,06/29/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,25,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
973,06/29/2017,Junio,Estados Unidos,No responde,Extranjero,N/A,Norteamerica,Masculino,49,Más de 45 años,Cultural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Aéreo,10,7 - 10 Noches
974,06/29/2017,Junio,Colombia,Manizales,Nacional,Centro,N/A,Femenino,42,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,15,Más de 10 noches
975,06/29/2017,Junio,Colombia,Medellin,Nacional,Centro,N/A,Femenino,48,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre particular,3,2 - 3 Noches
976,06/29/2017,Junio,Francia,No responde,Extranjero,N/A,Europa,Femenino,26,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,2,2 - 3 Noches
977,06/29/2017,Junio,Colombia,Medellin,Nacional,Centro,N/A,Masculino,56,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre particular,3,2 - 3 Noches
978,06/29/2017,Junio,Turquía,No responde,Extranjero,N/A,Europa,Femenino,48,Más de 45 años,Cultural,N/A,Otro,Turco,No responde,N/A,Aéreo,3,2 - 3 Noches
979,06/29/2017,Junio,Colombia,Cartagena,Nacional,Norte,N/A,Femenino,28,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
980,06/29/2017,Junio,Colombia,Cartagena,Nacional,Norte,N/A,Femenino,47,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 - 3 Noches
981,06/29/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,50,Más de 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2,2 - 3 Noches
982,06/29/2017,Junio,Israel,Haifa,Extranjero,N/A,Asia,Masculino,23,21 - 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Aéreo,3,2 - 3 Noches
983,06/29/2017,Junio,Estados Unidos,New York,Extranjero,N/A,Norteamerica,Masculino,58,Más de 45 años,Cultural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Aéreo,16,Más de 10 noches
984,06/30/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,34,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,8,7 - 10 Noches
985,06/30/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,65,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,8,7 - 10 Noches
986,06/30/2017,Junio,Colombia,No responde,Nacional,N/A,N/A,Femenino,62,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,4,4 - 6 Noches
987,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,46,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
988,06/30/2017,Junio,Ecuador,No responde,Extranjero,N/A,America Latina,Masculino,28,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,4,4 - 6 Noches
989,06/30/2017,Junio,Colombia,Armenia,Nacional,Centro,N/A,Masculino,66,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,10,7 - 10 Noches
990,06/30/2017,Junio,Colombia,Armenia,Nacional,Centro,N/A,Femenino,63,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,10,7 - 10 Noches
991,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,50,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
992,06/30/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,55,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre particular,3,2 - 3 Noches
993,06/30/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,30,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre particular,3,2 - 3 Noches
994,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,38,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
995,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,25,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
996,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,21,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
997,06/30/2017,Junio,Francia,No responde,Extranjero,N/A,Europa,Masculino,25,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,4,4 - 6 Noches
998,06/30/2017,Junio,Francia,No responde,Extranjero,N/A,Europa,Masculino,23,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,4,4 - 6 Noches
999,06/30/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,34,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
