Encuesta;Fecha;Mes;Pais de Procedencia;Cuidad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo de estancia;;;;;;;;;;
2288;2018-10-24;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;42;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;6;4-6 Noches;;;;;;;;;;
2289;2018-10-24;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;41;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;6;4-6 Noches;;;;;;;;;;
2290;2018-10-24;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;54;Más de 45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;15;Mas de 10 Noches;;;;;;;;;;
2291;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;68;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2292;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;24;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2293;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;24;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2294;2018-10-24;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;45;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;14;Mas de 10 Noches;;;;;;;;;;
2295;2018-10-24;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;38;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;15;Mas de 10 Noches;;;;;;;;;;
2296;2018-10-24;Octubre;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;32;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;15;Mas de 10 Noches;;;;;;;;;;
2297;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;53;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2298;2018-10-24;Octubre;Argentina;Buenos Aires;Extranjero;N/A;America Latina;Femenino;25;21 a 45 años;Cultural;N/A;Español;N/A;No responde;N/A;Aéreo;30;Mas de 10 Noches;;;;;;;;;;
2299;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;79;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2300;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;34;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2301;2018-10-24;Octubre;Colombia;Medellín;Nacional;Centro;N/A;Masculino;73;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;20;Mas de 10 Noches;;;;;;;;;;
2302;2018-10-24;Octubre;Alemania;Kassel;Extranjero;N/A;Europa;Masculino;26;21 a 45 años;Recreacional o vacacional;N/A;Alemán;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
2303;2018-10-24;Octubre;Ecuador;Esmeraldas;Extranjero;N/A;America Latina;Femenino;24;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;8;7-10 Noches;;;;;;;;;;
2304;2018-10-24;Octubre;Argentina;Buenos Aires;Extranjero;N/A;America Latina;Masculino;34;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;7;7-10 Noches;;;;;;;;;;
2305;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;39;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2306;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;41;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2307;2018-10-24;Octubre;Argentina;Buenos Aires;Extranjero;N/A;America Latina;Femenino;25;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;Aéreo;N/A;N/A;;;;;;;;;;
2308;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;29;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2309;2018-10-24;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;79;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2310;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;59;Más de 45 años;Turismo rural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2311;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;29;21 a 45 años;Turismo rural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2312;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;63;Más de 45 años;Cultural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2313;2018-10-25;Octubre;Colombia;Pasto;Nacional;Sur;N/A;Masculino;58;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
2314;2018-10-25;Octubre;Colombia;Pasto;Nacional;Sur;N/A;Masculino;33;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;Terrestre particular;1;1 Noche;;;;;;;;;;
2315;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;67;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2316;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;58;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2317;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;48;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2318;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;72;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2319;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;57;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2320;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;48;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2321;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;64;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2322;2018-10-25;Octubre;Chile;Santiago de Chile;Extranjero;N/A;America Latina;Masculino;57;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
2323;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;28;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2324;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2325;2018-10-25;Octubre;Italia;Amalfi;Extranjero;N/A;Europa;Masculino;26;21 a 45 años;Recreacional o vacacional;N/A;Italiano;N/A;Hotel;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
2326;2018-10-25;Octubre;Turquia;Bodrum;Extranjero;N/A;Asia;Masculino;31;21 a 45 años;Recreacional o vacacional;N/A;Otro;Turco;Hostal;N/A;Aéreo;1;1 Noche;;;;;;;;;;
2327;2018-10-25;Octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;46;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2328;2018-10-25;octubre;Colombia;Cali;Local;Occidente;N/A;Masculino;60;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
2329;2018-10-25;octubre;Perú;Lima;Extranjero;N/A;America Latina;Masculino;27;21 a 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
