Encuesta;Fecha;Mes;Pais de Procedencia;Cuidad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo de estancia;;;;;;;;;;
826;2018-08-22;Agosto;España;Madrid;Extranjero;N/A;Europa;Masculino;62;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
827;2018-08-22;Agosto;Ecuador;Quito;Extranjero;N/A;America Latina;Masculino;55;Más de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
828;2018-08-22;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;51;Más de 45 años;Turismo rural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
829;2018-08-22;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;62;Más de 45 años;Turismo rural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
830;2018-08-22;Agosto;Alemania;Berlin;Extranjero;N/A;Europa;Masculino;29;21 a 45 años;Cultural;N/A;Alemán;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
831;2018-08-22;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;33;21 a 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre particular;4;4-6 Noches;;;;;;;;;;
832;2018-08-23;Agosto;Colombia;Armenia;Nacional;Centro;N/A;Femenino;38;21 a 45 años;Cultural;N/A;Español;N/A;Otros;N/A;Terrestre público;1;1 Noche;;;;;;;;;;
833;2018-08-23;Agosto;Colombia;Tulua;Nacional;Occidente;N/A;Masculino;50;Más de 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;8;7-10 Noches;;;;;;;;;;
834;2018-08-23;Agosto;Colombia;Bucaramanga ;Nacional;Centro;N/A;Femenino;29;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
835;2018-08-23;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;34;21 a 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;4;4-6 Noches;;;;;;;;;;
836;2018-08-23;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;36;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;1;1 Noche;;;;;;;;;;
837;2018-08-23;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;25;21 a 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;1;1 Noche;;;;;;;;;;
838;2018-08-23;Agosto;Venezuela;Cumaná;Extranjero;N/A;America Latina;Femenino;46;Más de 45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;30;Mas de 10 Noches;;;;;;;;;;
839;2018-08-23;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
840;2018-08-23;Agosto;Perú;Lima;Extranjero;N/A;America Latina;Femenino;30;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
841;2018-08-23;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;34;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
842;2018-08-23;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;51;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
843;2018-08-23;Agosto;Alemania;Hamburgo;Extranjero;N/A;Europa;Femenino;23;21 a 45 años;Recreacional o vacacional;N/A;Alemán;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
844;2018-08-23;Agosto;Chile;Concepción;Extranjero;N/A;America Latina;Femenino;28;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
845;2018-08-23;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;33;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
846;2018-08-24;Agosto;Ecuador;Quito;Extranjero;N/A;America Latina;Femenino;34;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
847;2018-08-24;Agosto;Colombia;Yopal;Nacional;Oriente;N/A;Masculino;23;21 a 45 años;Turismo rural;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
848;2018-08-24;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;32;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
849;2018-08-24;Agosto;Venezuela;Mérida;Extranjero;N/A;America Latina;Masculino;25;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;3;2-3 Noches;;;;;;;;;;
850;2018-08-24;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;25;21 a 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;5;4-6 Noches;;;;;;;;;;
851;2018-08-24;Agosto;Colombia;Fusagasugá;Nacional;Centro;N/A;Masculino;39;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
852;2018-08-24;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;50;Más de 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
853;2018-08-24;Agosto;España;Valencia;Extranjero;N/A;Europa;Femenino;38;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
854;2018-08-24;Agosto;China;Xiamen;Extranjero;N/A;Asia;Masculino;35;21 a 45 años;Cultural;N/A;Otro;Mandarin;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
855;2018-08-24;Agosto;España;Barcelona;Extranjero;N/A;Europa;Femenino;42;21 a 45 años;Cultural;N/A;Otro;Catalán;Vivienda familiar o amigos;N/A;Aéreo;16;Mas de 10 Noches;;;;;;;;;;
856;2018-08-24;Agosto;Francia;Paris;Extranjero;N/A;Europa;Masculino;38;21 a 45 años;Cultural;N/A;Francés;N/A;Vivienda familiar o amigos;N/A;Aéreo;8;7-10 Noches;;;;;;;;;;
857;2018-08-24;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;37;21 a 45 años;Visita parientes o amigos;N/A;Español;N/A;Otros;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
858;2018-08-24;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;55;Más de 45 años;Cultural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
859;2018-08-24;Agosto;Brasil;Belo Horizonte;Extranjero;N/A;America Latina;Masculino;30;21 a 45 años;Cultural;N/A;Portugués;N/A;Hostal;N/A;Aéreo;1;1 Noche;;;;;;;;;;
860;2018-08-24;Agosto;Perú;Cuzco;Extranjero;N/A;America Latina;Masculino;36;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Terrestre público;3;2-3 Noches;;;;;;;;;;
861;2018-08-24;Agosto;Argentina;Buenos Aires;Extranjero;N/A;America Latina;Femenino;27;21 a 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;7;7-10 Noches;;;;;;;;;;
862;2018-08-25;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;52;Más de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
863;2018-08-25;Agosto;Colombia;Cúcuta;Nacional;Norte;N/A;Femenino;43;21 a 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre particular;2;2-3 Noches;;;;;;;;;;
864;2018-08-25;Agosto;Argentina;Buenos Aires;Extranjero;N/A;America Latina;Femenino;46;Más de 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
865;2018-08-25;Agosto;Ecuador;Quito;Extranjero;N/A;America Latina;Masculino;25;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
866;2018-08-25;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;53;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
867;2018-08-25;Agosto;Estados Unidos;Nueva York;Extranjero;N/A;Norteamerica;Femenino;30;21 a 45 años;Cultural;N/A;Inglés;N/A;Hostal;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
868;2018-08-25;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;24;21 a 45 años;Turismo rural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;4;4-6 Noches;;;;;;;;;;
869;2018-08-25;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;27;21 a 45 años;Turismo rural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
870;2018-08-25;Agosto;Estados Unidos;San Francisco;Extranjero;N/A;Norteamerica;Femenino;44;21 a 45 años;Recreacional o vacacional;N/A;Inglés;N/A;Hostal;N/A;Aéreo;7;7-10 Noches;;;;;;;;;;
871;2018-08-26;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;51;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;90;Mas de 10 Noches;;;;;;;;;;
872;2018-08-26;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;55;Más de 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
873;2018-08-26;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;41;21 a 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
874;2018-08-26;Agosto;Venezuela;Barquisimeto;Extranjero;N/A;America Latina;Masculino;22;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;Terrestre público;N/A;N/A;;;;;;;;;;
875;2018-08-27;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;41;21 a 45 años;Cultural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
876;2018-08-27;Agosto;Chile;Punta Arenas;Extranjero;N/A;America Latina;Femenino;56;Más de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
877;2018-08-27;Agosto;Chile;Punta Arenas;Extranjero;N/A;America Latina;Masculino;56;Más de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
878;2018-08-27;Agosto;Francia;Angers;Extranjero;N/A;Europa;Femenino;27;21 a 45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
879;2018-08-27;Agosto;México;Querétaro;Extranjero;N/A;Norteamerica;Femenino;38;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
880;2018-08-27;Agosto;Alemania;Munich;Extranjero;N/A;Europa;Femenino;37;21 a 45 años;Cultural;N/A;Alemán;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
881;2018-08-27;Agosto;Colombia;Sogamoso ;Nacional;Centro;N/A;Masculino;35;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
882;2018-08-27;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;21;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
883;2018-08-27;Agosto;Ecuador;Quito;Extranjero;N/A;America Latina;Femenino;30;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
884;2018-08-27;Agosto;Colombia;Valledupar;Nacional;Norte;N/A;Masculino;32;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
885;2018-08-27;Agosto;Colombia;Medellín;Nacional;Centro;N/A;Masculino;38;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
886;2018-08-27;Agosto;Colombia;Valledupar;Nacional;Norte;N/A;Masculino;45;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;5;4-6 Noches;;;;;;;;;;
887;2018-08-27;Agosto;Francia;Nantes;Extranjero;N/A;Europa;Masculino;30;21 a 45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;1;1 Noche;;;;;;;;;;
888;2018-08-27;Agosto;Alemania;Berlin;Extranjero;N/A;Europa;Masculino;28;21 a 45 años;Recreacional o vacacional;N/A;Alemán;N/A;Hostal;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
889;2018-08-27;Agosto;Chile;Santiago de Chile;Extranjero;N/A;America Latina;Masculino;41;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;20;Mas de 10 Noches;;;;;;;;;;
890;2018-08-27;Agosto;Colombia;Pereira;Nacional;Centro;N/A;Masculino;29;21 a 45 años;Salud;N/A;Español;N/A;Hostal;N/A;Terrestre público;20;Mas de 10 Noches;;;;;;;;;;
891;2018-08-27;Agosto;Brasil;Fortaleza;Extranjero;N/A;America Latina;Femenino;46;Más de 45 años;Recreacional o vacacional;N/A;Portugués;N/A;Hotel;N/A;Aéreo;5;4-6 Noches;;;;;;;;;;
892;2018-08-27;Agosto;Perú;Lima;Extranjero;N/A;America Latina;Masculino;56;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
893;2018-08-27;Agosto;Colombia;La Cumbre;Nacional;Occidente;N/A;Femenino;59;Más de 45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;39;Mas de 10 Noches;;;;;;;;;;
894;2018-08-27;Agosto;Venezuela;Barinas;Extranjero;N/A;America Latina;Femenino;25;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;Terrestre público;N/A;N/A;;;;;;;;;;
895;2018-08-27;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
896;2018-08-28;Agosto;Portugal;Porto;Extranjero;N/A;Europa;Femenino;24;21 a 45 años;Cultural;N/A;Portugués;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
897;2018-08-28;Agosto;Portugal;Porto;Extranjero;N/A;Europa;Femenino;32;21 a 45 años;Cultural;N/A;Portugués;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
898;2018-08-28;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;22;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
899;2018-08-28;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;32;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
900;2018-08-28;Agosto;Alemania;Berlin;Extranjero;N/A;Europa;Femenino;28;21 a 45 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
901;2018-08-28;Agosto;Colombia;Bucaramanga ;Nacional;Centro;N/A;Masculino;31;21 a 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;N/A;N/A;;;;;;;;;;
902;2018-08-28;Agosto;Colombia;Palmira ;Nacional;Occidente;N/A;Masculino;43;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;N/A;N/A;;;;;;;;;;
903;2018-08-28;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;36;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;N/A;N/A;;;;;;;;;;
904;2018-08-28;Agosto;Colombia;Piede Cuesta;Nacional;Norte;N/A;Masculino;68;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;No responde;N/A;Aéreo;N/A;N/A;;;;;;;;;;
905;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;54;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
906;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;77;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
907;2018-08-28;Agosto;Nicaragua;Managua;Extranjero;N/A;America Latina;Masculino;32;21 a 45 años;Educación y/o Formación;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
908;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;29;21 a 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
909;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;66;Más de 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
910;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;67;Más de 45 años;Cultural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
911;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;47;Más de 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
912;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;27;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
913;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;28;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
914;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;40;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
915;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;33;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
916;2018-08-28;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;64;Más de 45 años;Cultural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
917;2018-08-29;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;66;Más de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;25;Mas de 10 Noches;;;;;;;;;;
918;2018-08-29;Agosto;Ecuador;Quito;Extranjero;N/A;America Latina;Masculino;38;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
919;2018-08-29;Agosto;Ecuador;Portoviejo;Extranjero;N/A;America Latina;Masculino;34;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
920;2018-08-29;Agosto;Ecuador;Portoviejo;Extranjero;N/A;America Latina;Masculino;28;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
921;2018-08-29;Agosto;Israel;Tel Aviv;Extranjero;N/A;Asia;Femenino;60;Más de 45 años;Cultural;N/A;Otro;Hebreo;Hotel;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
922;2018-08-29;Agosto;Colombia;Tunja;Nacional;Centro;N/A;Masculino;59;Más de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;8;7-10 Noches;;;;;;;;;;
923;2018-08-29;Agosto;Colombia;Buenaventura;Nacional;Occidente;N/A;Masculino;35;21 a 45 años;Cultural;N/A;Español;N/A;No responde;N/A;Terrestre público;N/A;N/A;;;;;;;;;;
924;2018-08-29;Agosto;Canadá;Montreal;Extranjero;N/A;Norteamerica;Masculino;28;21 a 45 años;Cultural;N/A;Inglés;N/A;Hostal;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
925;2018-08-29;Agosto;Venezuela;Tachira;Extranjero;N/A;America Latina;Femenino;37;21 a 45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;120;Mas de 10 Noches;;;;;;;;;;
926;2018-08-29;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;66;Más de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;25;Mas de 10 Noches;;;;;;;;;;
927;2018-08-29;Agosto;Ecuador;Cuenca;Extranjero;N/A;America Latina;Masculino;38;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
928;2018-08-29;Agosto;Ecuador;Portoviejo;Extranjero;N/A;America Latina;Masculino;34;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
929;2018-08-29;Agosto;Ecuador;Portoviejo;Extranjero;N/A;America Latina;Masculino;29;21 a 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;1;1 Noche;;;;;;;;;;
930;2018-08-29;Agosto;Israel;Tel Aviv;Extranjero;N/A;Asia;Femenino;60;Más de 45 años;Cultural;N/A;Otro;Hebreo;No responde;N/A;Aéreo;4;4-6 Noches;;;;;;;;;;
931;2018-08-29;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;51;Más de 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
932;2018-08-29;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;25;21 a 45 años;Educación y/o Formación;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
933;2018-08-29;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;30;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
934;2018-08-29;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;32;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
935;2018-08-29;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
936;2018-08-30;Agosto;Colombia;Mocoa;Nacional;Sur;N/A;Femenino;27;21 a 45 años;Negocios;N/A;Español;N/A;No responde;N/A;Terrestre público;2;2-3 Noches;;;;;;;;;;
937;2018-08-30;Agosto;México;Puerto Vallarda;Extranjero;N/A;Norteamerica;Femenino;26;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
938;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;53;Más de 45 años;Visita parientes o amigos;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
939;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;41;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
940;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;63;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
941;2018-08-30;Agosto;Colombia;Tulua;Nacional;Occidente;N/A;Masculino;56;Más de 45 años;Cultural;N/A;Español;N/A;No responde;N/A;Terrestre público;N/A;N/A;;;;;;;;;;
942;2018-08-30;Agosto;España;Sevilla;Extranjero;N/A;Europa;Femenino;27;21 a 45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;N/A;N/A;;;;;;;;;;
943;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;46;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
944;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;29;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
945;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;69;Más de 45 años;Cultural;N/A;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
946;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;25;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
947;2018-08-30;Agosto;Colombia;Cali;Local;Occidente;N/A;Masculino;22;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
948;2018-08-31;Agosto;Colombia;Medellín;Nacional;Centro;N/A;Femenino;34;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Terrestre público;5;4-6 Noches;;;;;;;;;;
949;2018-08-31;Agosto;Guatemala;Ciudad de Guatemala;Extranjero;N/A;America Latina;Masculino;38;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
950;2018-08-31;Agosto;Alemania;Colonia;Extranjero;N/A;Europa;Femenino;27;21 a 45 años;Recreacional o vacacional;N/A;Alemán;N/A;Hostal;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
951;2018-08-31;Agosto;Estados Unidos;Austin ;Extranjero;N/A;Norteamerica;Femenino;27;21 a 45 años;Recreacional o vacacional;N/A;Inglés;N/A;Hostal;N/A;Aéreo;3;2-3 Noches;;;;;;;;;;
952;2018-08-31;Agosto;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;50;Más de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;8;7-10 Noches;;;;;;;;;;
953;2018-08-31;Agosto;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
954;2018-08-31;Agosto;España;Córdoba;Extranjero;N/A;Europa;Femenino;25;21 a 45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;2;2-3 Noches;;;;;;;;;;
