Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedendia- Visitantes nacionales,Zona procedendia- Visitantes internacionales,Sexo,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Rango de Tiempo de estancia
921,11/06/2015,Noviembre,Australia,No responde,Extranjero,N/A,Oceania,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Inglés,N/A,Hostal,N/A,Terrestre público,N/A
922,11/06/2015,Noviembre,Venezuela,No responde,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
923,11/06/2015,Noviembre,Argentina,Mar del Plata,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
924,11/06/2015,Noviembre,Argentina,Villa Gesell,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
925,11/06/2015,Noviembre,Argentina,No responde,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
926,11/06/2015,Noviembre,Holanda,No responde,Extranjero,N/A,Europa,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Otro,Neerlandés,Hotel,N/A,Aéreo,N/A
927,11/09/2015,Noviembre,Chile,Concepción,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
928,11/09/2015,Noviembre,Australia,Melbourne,Extranjero,N/A,Oceania,Femenino,21 - 45 años,Turismo rural,N/A,Inglés,N/A,Hostal,N/A,Terrestre público,N/A
929,11/09/2015,Noviembre,Australia,Melbourne,Extranjero,N/A,Oceania,Masculino,21 - 45 años,Turismo rural,N/A,Inglés,N/A,Hostal,N/A,Terrestre público,N/A
930,11/09/2015,Noviembre,USA,San Francisco,Extranjero,N/A,Norteamerica,Femenino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,N/A
931,11/09/2015,Noviembre,Perú,Lima,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
932,11/09/2015,Noviembre,Francia,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
933,11/09/2015,Noviembre,Alemania,Kiel,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Alemán,N/A,Hostal,N/A,Terrestre público,N/A
934,11/09/2015,Noviembre,Alemania,Hamburgo,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Alemán,N/A,Hostal,N/A,Terrestre público,N/A
935,11/10/2015,Noviembre,Chile,Santiago de Chile,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
936,11/10/2015,Noviembre,Chile,Santiago de Chile,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
937,11/10/2015,Noviembre,USA,New york,Extranjero,N/A,Norteamerica,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Inglés,N/A,Hostal,N/A,Aéreo,N/A
938,11/10/2015,Noviembre,USA,No responde,Extranjero,N/A,Norteamerica,Femenino,21 - 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Aéreo,N/A
939,11/10/2015,Noviembre,México,Ciudad de México,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
940,11/10/2015,Noviembre,México,Ciudad de México,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
941,11/11/2015,Noviembre,Puerto Rico,Guaynabo,Extranjero,N/A,America Latina,Femenino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
942,11/11/2015,Noviembre,Belgica,Bruselas,Extranjero,N/A,Europa,Femenino,No responde,Turismo rural,N/A,Francés,N/A,Hotel,N/A,Aéreo,N/A
943,11/11/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Masculino,No responde,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
944,11/11/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,No responde,Recreacional o vacacional,N/A,Español,N/A,Reside,N/A,Reside,Reside
945,11/12/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
946,11/12/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
947,11/12/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,Más de 45 años,Turismo rural,N/A,Español,N/A,Reside,N/A,Reside,Reside
948,11/12/2015,Noviembre,Suiza,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Aéreo,N/A
949,11/12/2015,Noviembre,Corea del Sur,Seúl,Extranjero,N/A,Asia,Femenino,21 - 45 años,Turismo rural,N/A,Otro,Coreano,Hostal,N/A,Aéreo,N/A
950,11/12/2015,Noviembre,España,Coruña,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
951,11/13/2015,Noviembre,Francia,No responde,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Francés,N/A,Hotel,N/A,Aéreo,N/A
952,11/13/2015,Noviembre,España,Pamplona,Extranjero,N/A,Europa,Femenino,21 - 45 años,Negocios,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
953,11/13/2015,Noviembre,España,Pamplona,Extranjero,N/A,Europa,Masculino,21 - 45 años,Negocios,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
954,11/13/2015,Noviembre,Francia,No responde,Extranjero,N/A,Europa,Femenino,21 - 45 años,Turismo rural,N/A,Francés,N/A,Hotel,N/A,Terrestre particular,N/A
955,11/13/2015,Noviembre,Francia,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Turismo rural,N/A,Francés,N/A,Hotel,N/A,Terrestre particular,N/A
956,11/13/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
957,11/17/2015,Noviembre,Noruega,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Turismo rural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,N/A
958,11/17/2015,Noviembre,Perú,Lima,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda turistica,N/A,Aéreo,N/A
959,11/17/2015,Noviembre,Ecuador,Guayaquil,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
960,11/17/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,Más de 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
961,11/18/2015,Noviembre,Austria,Graz,Extranjero,N/A,Oceania,Masculino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Terrestre público,N/A
962,11/18/2015,Noviembre,Austria,Graz,Extranjero,N/A,Oceania,Femenino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Terrestre público,N/A
963,11/18/2015,Noviembre,Polonia,Lodz,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Otro,Polaco,Hostal,N/A,Terrestre público,N/A
964,11/18/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,0 - 20 Años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
965,11/18/2015,Noviembre,México,No responde,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
966,11/19/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Reside,N/A,Reside,Reside
967,11/19/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
968,11/19/2015,Noviembre,Holanda,Bruselas,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
